strength_to_weight_pullup,strength_to_weight_maxhang,strength_to_weight_weightpull,continuous,repeaters1,exp,trainexp,days,max_boulder_grade,max_sport_grade
1.4,1.4,1.4,30.0,120.0,5.0,3.0,8.0,V7,7c+
1.4,1.4,1.4,30.0,120.0,5.0,3.0,8.0,V7,7b
2.0256410256410255,3.5641025641025643,3.6666666666666665,200.0,1000.0,1.0,1.0,1.0,V8,0
1.1310043668122272,1.0,1.0,2.0,10.0,1.0,1.0,0.0,0,6a
1.4545454545454546,1.4545454545454546,1.9090909090909092,10.0,120.0,5.0,3.0,1.0,0,6c
0.26666666666666666,0.09333333333333334,0.36,10.0,30.0,2.0,1.5,0.0,0,6a
0.1568627450980392,0.5228758169934641,0.3006535947712418,60.0,120.0,5.0,5.0,7.0,V8,0
0.25,0.25,0.5,20.0,120.0,3.0,2.0,0.0,V6,0
0.3225806451612903,0.4838709677419355,0.5645161290322581,30.0,120.0,3.0,1.0,1.0,V7,6c+
0.17142857142857143,0.3,0.42857142857142855,20.0,240.0,10.0,7.0,8.0,V8,7c+
0.1,0.0,0.0,10.0,120.0,5.0,1.0,0.0,0,6b+
0.1,0.0,0.0,10.0,120.0,5.0,1.0,0.0,0,6b+
0.1,0.0,0.0,10.0,120.0,5.0,1.0,0.0,0,6b+
0.273972602739726,0.273972602739726,0.547945205479452,70.0,180.0,7.0,4.0,12.0,V8,7c+
0.8823529411764706,0.9803921568627451,0.7843137254902024,90.0,90.0,13.0,5.0,14.0,V12,8a
0.21428571428571427,0.8214285714285714,0.6142857142857143,45.0,120.0,10.0,6.0,2.0,V11,0
0.015267175572519083,0.0,0.0,8.0,120.0,1.5,1.0,1.0,0,6b
0.10144927536231885,0.08695652173913043,0.14492753623188406,30.0,120.0,1.0,1.0,0.0,V6,6c
0.1686746987951807,0.16867469879518054,0.2891566265060241,60.0,120.0,9.0,1.0,1.0,V5,6c
0.07017543859649122,0.2631578947368421,0.07017543859649122,50.0,120.0,5.0,1.0,1.0,V5,6b
0.07017543859649122,0.2631578947368421,0.07017543859649122,50.0,120.0,5.0,1.0,1.0,V5,6b
0.2391304347826087,0.21739130434782608,0.32608695652173914,30.0,120.0,3.0,1.0,0.0,V5,7a+
0.29677784058790274,0.4804974561899378,0.6359525155455059,60.0,70.0,2.0,2.0,0.0,V8,6b+
0.29677784058790274,0.4804974561899378,0.6359525155455059,60.0,70.0,2.0,2.0,0.0,V8,6b+
0.29411764705882354,0.9852941176470589,0.8088235294117647,45.0,100.0,15.0,8.0,7.0,V13,8c+
0.2,0.19999999999999976,0.600000000000001,30.0,120.0,2.0,1.0,0.0,V6,7a+
0.2542372881355932,0.711864406779661,0.5084745762711864,60.0,350.0,8.0,5.0,5.0,V9,7c
0.3076923076923077,0.15384615384615385,0.6153846153846154,30.0,120.0,1.0,1.0,0.0,V6,0
0.14285714285714285,0.14285714285714285,0.14285714285714285,30.0,120.0,5.0,3.0,8.0,V8,7c
0.16129032258064516,0.5118279569892473,0.46236559139784944,60.0,240.0,10.0,8.0,10.0,V11,8a
0.2133409187882236,0.14222727919214906,0.30578865026312047,45.0,120.0,1.5,2.0,0.0,V7,7b
0.38461538461538464,0.44871794871794873,0.8974358974358975,30.0,120.0,10.0,5.0,8.0,V9,8a+
0.2597402597402597,0.23376623376623376,0.5194805194805194,30.0,90.0,5.0,2.0,16.0,V7,7c
0.16216216216216217,0.13513513513513514,0.32432432432432434,15.0,60.0,3.0,1.5,0.25,V3,0
0.1276595744680851,0.22411347517730468,0.3531914893617021,25.0,115.0,3.5,2.5,7.0,0,6c+
0.2702702702702703,0.23648648648648649,0.6081081081081081,30.0,120.0,6.0,5.0,5.0,V8,7b+
0.3424657534246575,0.410958904109589,0.4794520547945205,90.0,120.0,1.5,1.5,0.0,V6,0
0.21428571428571427,0.38571428571428573,0.6428571428571429,30.0,120.0,9.5,1.0,2.0,V6,6b
0.21428571428571427,0.38571428571428573,0.6428571428571429,31.0,120.0,9.5,1.0,2.0,V6,6b+
0.28169014084507044,0.31690140845070425,0.49295774647887325,30.0,90.0,2.5,1.0,2.0,V6,7a
0.2571428571428571,0.2857142857142857,0.42857142857142855,40.0,120.0,3.0,2.0,1.0,V6,7a+
0.27586206896551724,0.4689655172413793,0.4689655172413793,30.0,120.0,8.0,4.0,6.25,V8,7a+
0.08771929824561403,0.3508771929824561,0.14035087719298245,30.0,120.0,12.0,5.0,8.0,V5,7c
0.0855614973262032,0.10695187165775401,0.2663101604278075,30.0,120.0,2.0,1.0,0.0,V6,0
0.3333333333333333,0.9722222222222222,0.1388888888888889,75.0,180.0,4.0,3.0,6.0,V10,7b
0.07582938388625593,0.0947867298578199,0.0947867298578199,17.0,60.0,6.0,2.0,7.0,V4,6c
0.11627906976744186,0.11627906976744186,0.2558139534883721,10.0,50.0,9.0,2.0,6.0,V6,6b
0.15384615384615385,0.32051282051282054,0.32051282051282054,30.0,120.0,1.2,1.5,0.0,V5,6b+
0.30120481927710846,0.3614457831325301,0.6024096385542169,30.0,120.0,4.0,1.0,0.0,V8,6b+
0.22388059701492538,0.3283582089552239,0.5223880597014925,30.0,120.0,3.0,1.0,0.0,V6,7a
0.2727272727272727,0.3333333333333333,0.5303030303030303,20.0,150.0,3.0,1.0,10.0,V7,8a
0.31746031746031744,0.23809523809523808,0.9523809523809523,20.0,119.0,1.0,1.0,1.0,V7,0
0.17699115044247787,0.17699115044247787,0.35398230088495575,30.0,120.0,1.0,1.0,1.0,V5,6b+
